OG,FG,ABV,IBU,Color,Efficiency,SugarScale,BrewMethod,Style
1.062,1.016,6.13,66.0,6.97,51.0,Specific Gravity,Partial Mash,American IPA
1.062,1.015,6.06,34.61,40.0,70.0,Specific Gravity,All Grain,Robust Porter
1.063,1.015,6.32,36.3,33.24,75.0,Specific Gravity,All Grain,Robust Porter
1.044,1.011,4.45,12.35,3.65,65.0,Specific Gravity,BIAB,Weizen/Weissbier
1.078,1.025,7.05,60.66,7.06,70.0,Specific Gravity,BIAB,American IPA
1.072,1.013,7.66,31.43,6.24,70.0,Specific Gravity,All Grain,Saison
1.056,1.014,5.53,0.0,18.8,73.0,Specific Gravity,All Grain,American Brown Ale
1.05,1.013,4.82,15.47,6.79,63.0,Specific Gravity,All Grain,Weizen/Weissbier
1.056,1.014,5.5,0.0,3.99,75.0,Specific Gravity,All Grain,Weizen/Weissbier
1.062,1.012,6.51,121.43,4.26,70.0,Specific Gravity,All Grain,American IPA
1.054,1.015,5.11,31.84,35.08,70.0,Specific Gravity,extract,Sweet Stout
1.068,1.013,7.2,105.67,7.77,68.0,Specific Gravity,All Grain,American IPA
1.057,1.012,5.87,23.21,3.11,83.0,Specific Gravity,All Grain,Witbier
1.05,1.013,4.85,20.08,3.33,75.0,Specific Gravity,All Grain,Witbier
1.102,1.023,10.34,136.21,6.34,80.0,Specific Gravity,All Grain,Imperial IPA
1.0659999999999998,1.021,5.87,37.61,41.27,65.0,Specific Gravity,All Grain,Sweet Stout
1.072,1.014,7.52,87.48,7.3,65.0,Specific Gravity,All Grain,American IPA
1.052,1.013,5.22,16.79,4.31,73.0,Specific Gravity,All Grain,Witbier
1.0959999999999999,1.026,9.16,33.18,40.0,70.0,Specific Gravity,extract,American Stout
1.072,1.016,7.27,0.0,9.3,65.0,Specific Gravity,All Grain,American IPA
1.079,1.014,8.51,120.63,8.08,75.0,Specific Gravity,All Grain,Imperial IPA
1.0490000000000002,1.012,4.84,25.23,3.79,68.0,Specific Gravity,All Grain,Kölsch
1.054,1.011,5.61,40.55,5.66,72.0,Specific Gravity,All Grain,American Pale Ale
1.052,1.011,5.36,18.92,3.26,75.0,Specific Gravity,All Grain,Witbier
1.056,1.012,5.73,26.51,9.94,70.0,Specific Gravity,All Grain,Saison
1.058,1.015,5.73,42.52,5.6,65.0,Specific Gravity,All Grain,American IPA
1.055,1.014,5.43,16.73,2.84,70.0,Specific Gravity,Partial Mash,Saison
1.075,1.0190000000000001,7.89,97.11,11.3,70.0,Specific Gravity,All Grain,Imperial IPA
1.0590000000000002,1.01,6.45,32.49,6.76,70.0,Specific Gravity,All Grain,American IPA
1.06,1.0170000000000001,5.63,27.73,8.87,30.0,Specific Gravity,extract,American Amber Ale
1.062,1.0070000000000001,7.2,0.0,13.0,72.0,Specific Gravity,All Grain,Saison
1.069,1.02,6.39,34.93,40.0,70.0,Specific Gravity,All Grain,Oatmeal Stout
1.051,1.012,5.19,32.59,5.63,65.0,Specific Gravity,All Grain,Saison
1.053,1.015,5.03,44.04,3.59,72.0,Specific Gravity,All Grain,American Pale Ale
1.051,1.012,5.13,8.74,3.66,72.0,Specific Gravity,All Grain,Weizen/Weissbier
1.058,1.0090000000000001,6.42,39.52,3.69,78.0,Specific Gravity,All Grain,American IPA
1.0659999999999998,1.018,6.24,68.07,11.58,77.0,Specific Gravity,All Grain,American IPA
1.065,1.012,6.88,65.04,6.75,70.0,Specific Gravity,All Grain,American IPA
1.064,1.018,6.03,70.74,9.01,70.0,Specific Gravity,Partial Mash,American IPA
1.055,1.014,5.46,35.01,8.06,75.0,Specific Gravity,All Grain,American Pale Ale
1.072,1.01,8.11,49.59,40.0,70.0,Specific Gravity,extract,Oatmeal Stout
1.046,1.011,4.5,0.0,16.76,75.0,Specific Gravity,All Grain,Irish Red Ale
1.056,1.013,5.57,43.02,10.33,75.0,Specific Gravity,extract,American IPA
1.0659999999999998,1.015,6.7,76.06,7.32,72.0,Specific Gravity,All Grain,American IPA
1.052,1.01,5.55,45.2,8.14,67.0,Specific Gravity,All Grain,American Pale Ale
1.0590000000000002,1.015,5.82,73.67,7.22,70.0,Specific Gravity,Partial Mash,American IPA
1.0659999999999998,1.0170000000000001,6.42,63.89,6.22,72.0,Specific Gravity,BIAB,Double IPA
1.057,1.016,5.38,46.29,7.1,70.0,Specific Gravity,All Grain,American IPA
1.1159999999999999,1.0290000000000001,11.44,113.19,40.0,70.0,Specific Gravity,Partial Mash,Oatmeal Stout
1.054,1.013,5.32,51.73,4.65,70.0,Specific Gravity,All Grain,American Pale Ale
1.061,1.008,6.92,48.4,10.53,60.0,Specific Gravity,All Grain,American IPA
1.067,1.0170000000000001,6.64,113.49,31.85,70.0,Specific Gravity,All Grain,American IPA
1.061,1.011,6.58,37.83,9.38,75.0,Specific Gravity,All Grain,American IPA
1.067,1.014,7.0,50.85,5.6,75.0,Specific Gravity,All Grain,American IPA
1.0490000000000002,1.01,5.06,33.49,8.76,85.0,Specific Gravity,All Grain,American Pale Ale
1.064,1.014,6.54,42.06,20.91,69.0,Specific Gravity,All Grain,American Brown Ale
1.0759999999999998,1.021,7.61,64.24,39.37,70.0,Specific Gravity,All Grain,American Stout
1.042,1.011,4.14,16.71,3.66,35.0,Specific Gravity,extract,Weizen/Weissbier
1.124,1.024,13.24,69.09,40.0,80.1,Specific Gravity,All Grain,Russian Imperial Stout
1.055,1.012,5.82,44.62,18.72,75.0,Specific Gravity,BIAB,American Amber Ale
1.069,1.015,7.11,30.11,5.04,72.0,Specific Gravity,All Grain,American IPA
1.065,1.015,6.61,65.02,16.19,74.0,Specific Gravity,All Grain,American Amber Ale
1.13,1.036,12.35,114.57,40.0,80.0,Specific Gravity,All Grain,Russian Imperial Stout
1.081,1.014,8.82,124.23,5.8,75.0,Specific Gravity,All Grain,Imperial IPA
1.042,1.01,4.24,47.19,9.46,81.0,Specific Gravity,BIAB,American Pale Ale
1.057,1.016,5.41,24.84,39.0,25.0,Specific Gravity,extract,Robust Porter
1.051,1.014,4.8,15.59,25.1,100.0,Specific Gravity,extract,American Brown Ale
1.053,1.011,5.59,38.44,5.57,72.0,Specific Gravity,All Grain,American Pale Ale
1.052,1.013,5.05,27.42,9.47,75.0,Specific Gravity,All Grain,American Pale Ale
1.054,1.013,5.45,11.93,6.52,70.0,Specific Gravity,BIAB,American Pale Ale
1.062,1.014,6.3,18.89,5.9,80.0,Specific Gravity,All Grain,Weizen/Weissbier
1.053,1.015,5.03,28.85,16.42,75.0,Specific Gravity,All Grain,Irish Red Ale
1.056,1.013,5.59,28.57,11.36,75.0,Specific Gravity,All Grain,American Pale Ale
1.088,1.023,8.53,75.14,12.22,65.0,Specific Gravity,All Grain,Imperial IPA
1.046,1.008,4.98,26.72,9.67,75.0,Specific Gravity,All Grain,Irish Red Ale
1.055,1.015,5.22,34.36,15.23,72.0,Specific Gravity,All Grain,Irish Red Ale
1.061,1.01,6.76,33.08,9.83,75.0,Specific Gravity,All Grain,Saison
1.095,1.0270000000000001,8.98,136.74,6.31,35.0,Specific Gravity,extract,Imperial IPA
1.065,1.015,6.6,35.44,8.47,75.0,Specific Gravity,All Grain,American IPA
1.072,1.014,7.69,100.06,6.65,75.0,Specific Gravity,All Grain,American IPA
1.06,1.022,4.99,24.51,39.5,75.0,Specific Gravity,All Grain,Sweet Stout
1.047,1.01,4.9,14.36,3.54,73.0,Specific Gravity,All Grain,Witbier
1.058,1.0170000000000001,5.42,43.43,4.3,70.0,Specific Gravity,All Grain,American IPA
1.05,1.01,5.27,31.51,3.37,70.0,Specific Gravity,All Grain,Saison
1.11,1.031,10.37,164.95,40.0,75.0,Specific Gravity,All Grain,Imperial IPA
1.09,1.0190000000000001,9.26,88.9,50.0,70.0,Specific Gravity,All Grain,Russian Imperial Stout
1.074,1.018,7.34,56.49,6.21,75.0,Specific Gravity,All Grain,American IPA
1.041,1.0090000000000001,4.1,21.02,3.73,70.0,Specific Gravity,All Grain,Blonde Ale
1.0759999999999998,1.015,8.03,162.53,6.04,66.0,Specific Gravity,All Grain,Double IPA
1.058,1.014,5.78,22.17,9.1,75.0,Specific Gravity,All Grain,Weizen/Weissbier
1.061,1.011,6.5,75.44,9.89,35.0,Specific Gravity,extract,American IPA
1.054,1.013,5.28,16.9,6.68,70.0,Specific Gravity,All Grain,Weizen/Weissbier
1.06,1.008,6.77,24.46,5.28,72.0,Specific Gravity,All Grain,Saison
1.072,1.018,7.12,0.0,39.03,75.0,Specific Gravity,All Grain,Robust Porter
1.054,1.01,5.77,36.64,5.65,78.0,Specific Gravity,All Grain,American Pale Ale
1.0959999999999999,1.0270000000000001,9.18,35.95,29.92,70.0,Specific Gravity,All Grain,Russian Imperial Stout
1.087,1.025,8.08,50.44,31.77,70.0,Specific Gravity,All Grain,American Stout
1.0490000000000002,1.012,4.82,18.38,4.98,35.0,Specific Gravity,extract,Weizen/Weissbier
1.069,1.0170000000000001,6.75,58.76,40.0,70.0,Specific Gravity,All Grain,American Stout
1.07,1.016,6.99,67.84,6.96,70.0,Specific Gravity,All Grain,American IPA
1.067,1.014,6.91,73.25,4.96,73.0,Specific Gravity,BIAB,American IPA
1.068,1.012,7.38,122.86,6.55,70.0,Specific Gravity,All Grain,American IPA
1.0759999999999998,1.018,7.64,67.76,5.85,75.0,Specific Gravity,All Grain,American IPA
1.102,1.024,10.26,79.21,40.0,35.0,Specific Gravity,extract,American Stout
1.046,1.011,4.58,12.04,3.33,70.0,Specific Gravity,All Grain,Weizen/Weissbier
1.0659999999999998,1.013,6.98,125.78,6.75,66.0,Specific Gravity,All Grain,American IPA
1.062,1.012,6.5,40.18,27.53,75.0,Specific Gravity,All Grain,Robust Porter
1.057,1.0170000000000001,5.29,57.28,8.4,73.0,Specific Gravity,All Grain,American Pale Ale
1.04,1.0070000000000001,4.41,14.69,2.48,80.0,Specific Gravity,All Grain,American Light Lager
1.105,1.026,10.3,59.26,40.0,75.0,Specific Gravity,Partial Mash,Sweet Stout
1.0490000000000002,1.0090000000000001,5.2,20.68,13.91,35.0,Specific Gravity,extract,Irish Red Ale
1.057,1.014,5.6,0.0,4.22,65.0,Specific Gravity,All Grain,Weizen/Weissbier
1.047,1.016,4.09,22.76,4.35,70.0,Specific Gravity,All Grain,Kölsch
1.071,1.013,7.54,79.63,14.8,75.0,Specific Gravity,All Grain,American IPA
1.045,1.011,4.48,61.29,8.31,70.0,Specific Gravity,extract,American IPA
1.074,1.0170000000000001,7.47,61.78,4.58,70.0,Specific Gravity,All Grain,Imperial IPA
1.072,1.014,7.59,91.69,4.52,73.0,Specific Gravity,All Grain,Imperial IPA
1.07,1.0170000000000001,6.87,17.15,28.97,70.0,Specific Gravity,All Grain,American Stout
1.053,1.015,4.97,35.03,10.29,35.0,Specific Gravity,extract,American Pale Ale
1.054,1.011,5.57,69.49,5.39,70.0,Specific Gravity,All Grain,American Pale Ale
1.079,1.018,7.98,0.0,7.34,75.0,Specific Gravity,All Grain,American IPA
1.053,1.014,5.13,27.22,12.01,65.0,Specific Gravity,All Grain,Irish Red Ale
1.052,1.013,5.13,14.42,4.01,35.0,Specific Gravity,extract,Weizen/Weissbier
1.0490000000000002,1.011,5.03,14.92,20.24,50.0,Specific Gravity,Partial Mash,Irish Red Ale
1.054,1.013,5.29,25.08,4.56,70.0,Specific Gravity,All Grain,Blonde Ale
1.0490000000000002,1.012,4.84,32.74,3.79,68.0,Specific Gravity,All Grain,Kölsch
1.064,1.016,6.32,0.0,6.84,64.0,Specific Gravity,All Grain,American IPA
1.075,1.014,7.95,64.87,12.08,75.0,Specific Gravity,All Grain,Imperial IPA
1.05,1.013,4.85,0.0,32.15,72.0,Specific Gravity,All Grain,American Stout
1.035,1.008,3.48,29.43,2.9,35.0,Specific Gravity,extract,Witbier
1.189,1.038,19.85,165.28,6.79,80.0,Specific Gravity,All Grain,Imperial IPA
1.065,1.018,6.12,38.79,3.99,75.0,Specific Gravity,All Grain,American Pale Ale
1.055,1.014,5.42,75.41,10.41,70.0,Specific Gravity,extract,American Pale Ale
1.0490000000000002,1.011,5.03,31.0,5.85,65.0,Specific Gravity,BIAB,American Pale Ale
1.0659999999999998,1.016,6.63,49.61,17.09,72.0,Specific Gravity,All Grain,American Amber Ale
1.0759999999999998,1.028,6.3,16.76,40.0,70.0,Specific Gravity,All Grain,Oatmeal Stout
1.053,1.011,5.44,23.49,13.11,70.0,Specific Gravity,BIAB,American Amber Ale
1.078,1.025,6.92,82.1,6.31,80.0,Specific Gravity,All Grain,American IPA
1.055,1.015,5.18,42.97,7.91,70.0,Specific Gravity,Partial Mash,American Pale Ale
1.075,1.021,7.11,80.04,18.21,63.0,Specific Gravity,All Grain,American IPA
1.0590000000000002,1.015,5.75,39.79,4.98,80.0,Specific Gravity,All Grain,American Pale Ale
1.051,1.013,4.99,0.0,3.74,75.0,Specific Gravity,All Grain,Witbier
1.047,1.013,4.51,46.65,4.68,75.0,Specific Gravity,All Grain,American Pale Ale
15.0428,3.7532099999999997,6.11,87.2,8.08,68.0,Plato,All Grain,American IPA
1.09,1.021,8.95,83.29,39.77,75.0,Specific Gravity,All Grain,Russian Imperial Stout
1.089,1.022,8.73,145.85,38.71,99.0,Specific Gravity,extract,Imperial IPA
1.047,1.0090000000000001,5.01,29.82,12.26,70.0,Specific Gravity,All Grain,American Amber Ale
1.053,1.014,5.15,72.58,3.79,70.0,Specific Gravity,All Grain,American Pale Ale
1.054,1.011,5.64,34.63,15.66,85.0,Specific Gravity,All Grain,Irish Red Ale
1.063,1.011,6.91,71.93,6.81,65.0,Specific Gravity,All Grain,American IPA
1.048,1.012,4.76,26.42,3.75,60.0,Specific Gravity,Partial Mash,Kölsch
1.053,1.012,5.41,43.31,10.47,77.0,Specific Gravity,All Grain,American Pale Ale
1.088,1.015,9.55,134.37,8.81,65.0,Specific Gravity,All Grain,Imperial IPA
1.052,1.013,5.17,12.91,3.87,65.0,Specific Gravity,All Grain,Witbier
1.061,1.021,5.36,44.14,8.48,70.0,Specific Gravity,All Grain,American IPA
1.068,1.0190000000000001,6.46,104.04,8.25,70.0,Specific Gravity,Partial Mash,American Pale Ale
1.053,1.016,4.83,32.14,4.19,75.0,Specific Gravity,BIAB,American Pale Ale
1.067,1.021,6.07,109.29,8.3,70.0,Specific Gravity,All Grain,American IPA
1.073,1.018,7.13,104.69,5.24,70.0,Specific Gravity,BIAB,American IPA
1.061,1.012,6.36,45.81,8.01,75.0,Specific Gravity,BIAB,American Pale Ale
1.075,1.0190000000000001,7.29,0.0,6.38,70.0,Specific Gravity,All Grain,American IPA
1.071,1.02,6.78,55.04,11.75,75.0,Specific Gravity,All Grain,American IPA
1.101,1.025,9.9,60.65,40.0,75.0,Specific Gravity,All Grain,Russian Imperial Stout
1.052,1.015,4.91,31.39,40.0,35.0,Specific Gravity,extract,Oatmeal Stout
1.062,1.015,6.26,69.81,6.5,75.0,Specific Gravity,All Grain,American IPA
1.042,1.008,4.38,38.58,6.41,75.0,Specific Gravity,BIAB,American IPA
1.065,1.02,5.9,0.0,2.82,75.0,Specific Gravity,Partial Mash,Sweet Stout
1.054,1.015,5.22,26.43,18.3,71.0,Specific Gravity,All Grain,Irish Red Ale
1.0590000000000002,1.016,5.54,37.76,7.07,80.0,Specific Gravity,BIAB,American Pale Ale
1.0490000000000002,1.014,4.6,48.66,10.5,35.0,Specific Gravity,extract,American Pale Ale
1.043,1.011,4.26,17.27,3.02,62.0,Specific Gravity,All Grain,Weizen/Weissbier
1.069,1.015,7.05,90.86,5.87,35.0,Specific Gravity,extract,American IPA
1.0659999999999998,1.016,6.47,67.99,14.87,70.0,Specific Gravity,Partial Mash,American IPA
1.058,1.016,5.47,70.94,10.86,70.0,Specific Gravity,All Grain,American IPA
1.072,1.018,7.07,0.0,11.24,75.0,Specific Gravity,Partial Mash,American IPA
1.053,1.013,5.31,46.7,6.38,70.0,Specific Gravity,extract,American Pale Ale
1.08,1.02,7.77,35.66,47.34,70.0,Specific Gravity,All Grain,Robust Porter
1.057,1.018,5.08,40.08,6.58,70.0,Specific Gravity,All Grain,American Pale Ale
1.069,1.025,5.85,28.78,41.87,82.0,Specific Gravity,All Grain,Sweet Stout
1.063,1.013,6.49,86.33,9.49,75.0,Specific Gravity,All Grain,American IPA
1.068,1.014,7.07,0.0,16.04,75.0,Specific Gravity,All Grain,Irish Red Ale
1.067,1.015,6.83,83.43,4.98,77.0,Specific Gravity,All Grain,Imperial IPA
1.074,1.021,7.4,85.44,40.0,70.0,Specific Gravity,All Grain,American Stout
1.054,1.012,5.55,39.96,7.6,71.0,Specific Gravity,All Grain,American Pale Ale
1.0979999999999999,1.024,9.61,86.79,40.0,65.0,Specific Gravity,All Grain,Russian Imperial Stout
1.062,1.011,6.71,66.17,7.47,70.0,Specific Gravity,All Grain,American IPA
1.055,1.011,5.84,67.22,6.06,72.0,Specific Gravity,All Grain,American IPA
1.051,1.012,5.11,36.67,4.28,80.0,Specific Gravity,BIAB,Kölsch
1.136,1.031,13.69,79.54,50.0,70.0,Specific Gravity,All Grain,Russian Imperial Stout
1.09,1.021,8.99,93.05,32.93,80.0,Specific Gravity,All Grain,Russian Imperial Stout
1.041,1.0090000000000001,4.2,8.77,4.58,75.0,Specific Gravity,BIAB,Blonde Ale
1.063,1.01,7.08,49.78,9.01,72.0,Specific Gravity,All Grain,American IPA
1.0959999999999999,1.025,9.3,130.65,37.45,50.0,Specific Gravity,Partial Mash,Imperial IPA
1.061,1.0190000000000001,5.56,86.0,10.98,65.0,Specific Gravity,extract,American IPA
1.055,1.01,5.86,35.56,5.22,79.0,Specific Gravity,All Grain,American Pale Ale
1.063,1.016,6.2,78.19,10.59,70.0,Specific Gravity,extract,American IPA
1.088,1.016,9.46,340.6,8.23,70.0,Specific Gravity,extract,Imperial IPA
1.047,1.013,4.43,20.6,6.13,65.0,Specific Gravity,All Grain,Weizen/Weissbier
1.067,1.012,7.23,98.21,6.46,88.0,Specific Gravity,All Grain,American IPA
1.07,1.018,6.91,38.14,16.01,75.0,Specific Gravity,All Grain,American Pale Ale
1.051,1.005,6.09,26.05,5.98,73.0,Specific Gravity,All Grain,Saison
1.053,1.013,5.31,55.16,6.13,80.0,Specific Gravity,BIAB,American Pale Ale
1.058,1.0170000000000001,5.42,58.91,10.13,63.0,Specific Gravity,All Grain,American IPA
1.053,1.012,5.37,26.47,3.43,70.0,Specific Gravity,All Grain,Witbier
1.07,1.018,6.79,82.14,6.28,75.0,Specific Gravity,Partial Mash,American IPA
1.057,1.013,5.72,14.83,6.07,75.0,Specific Gravity,extract,Weizen/Weissbier
1.053,1.0170000000000001,4.75,22.82,35.67,70.0,Specific Gravity,extract,American Stout
1.052,1.013,5.01,8.9,4.12,70.0,Specific Gravity,extract,Witbier
1.089,1.025,8.46,16.28,40.0,70.0,Specific Gravity,extract,Sweet Stout
1.061,1.016,5.8,36.2,17.43,45.0,Specific Gravity,extract,Irish Red Ale
1.047,1.011,4.8,14.95,3.34,74.0,Specific Gravity,All Grain,Witbier
1.052,1.012,5.31,12.17,4.8,75.0,Specific Gravity,All Grain,Weizen/Weissbier
1.081,1.015,8.73,84.0,32.38,68.0,Specific Gravity,All Grain,Imperial IPA
1.048,1.012,4.76,16.84,3.17,90.0,Specific Gravity,extract,Weizen/Weissbier
1.058,1.014,5.79,38.55,5.93,77.0,Specific Gravity,All Grain,American IPA
1.05,1.013,4.97,25.43,3.29,80.0,Specific Gravity,All Grain,Kölsch
1.091,1.023,8.96,113.94,9.53,75.0,Specific Gravity,extract,Imperial IPA
1.072,1.014,7.57,100.0,8.69,78.0,Specific Gravity,BIAB,Imperial IPA
1.069,1.021,6.34,47.78,5.5,70.0,Specific Gravity,All Grain,American IPA
1.0590000000000002,1.014,5.88,58.23,5.2,70.0,Specific Gravity,All Grain,American IPA
1.1079999999999999,1.024,11.14,88.99,50.0,60.0,Specific Gravity,BIAB,Russian Imperial Stout
1.054,1.013,5.34,29.37,27.63,70.0,Specific Gravity,All Grain,Irish Red Ale
1.062,1.014,6.29,41.36,23.06,35.0,Specific Gravity,extract,Robust Porter
1.063,1.016,6.18,68.93,6.65,70.0,Specific Gravity,All Grain,American IPA
1.097,1.024,9.58,98.84,50.0,70.0,Specific Gravity,All Grain,Russian Imperial Stout
1.089,1.021,8.98,61.1,40.0,25.0,Specific Gravity,extract,Russian Imperial Stout
1.0659999999999998,1.018,6.34,65.01,8.19,75.0,Specific Gravity,All Grain,American IPA
1.064,1.0190000000000001,5.93,33.81,25.9,70.0,Specific Gravity,All Grain,Robust Porter
1.06,1.015,5.86,32.75,40.0,70.0,Specific Gravity,All Grain,Sweet Stout
1.054,1.013,5.31,22.34,38.61,65.0,Specific Gravity,All Grain,Sweet Stout
1.093,1.023,9.11,43.36,40.0,73.0,Specific Gravity,All Grain,Russian Imperial Stout
1.056,1.012,5.69,45.04,6.79,60.0,Specific Gravity,All Grain,American IPA
1.052,1.0070000000000001,5.98,35.4,12.53,64.0,Specific Gravity,All Grain,American Amber Ale
1.061,1.014,6.17,29.71,40.0,75.0,Specific Gravity,All Grain,Robust Porter
1.07,1.018,6.79,111.94,4.45,75.0,Specific Gravity,BIAB,American IPA
1.065,1.013,6.87,132.56,7.06,70.0,Specific Gravity,All Grain,Imperial IPA
1.072,1.0190000000000001,6.95,116.08,40.69,75.0,Specific Gravity,All Grain,American IPA
1.052,1.01,5.42,37.02,5.78,72.0,Specific Gravity,All Grain,American Pale Ale
15.4102,4.48111,5.94,69.27,6.66,70.0,Plato,All Grain,American IPA
1.062,1.0170000000000001,5.88,66.87,7.04,65.0,Specific Gravity,All Grain,American IPA
1.053,1.016,4.92,30.72,27.77,75.0,Specific Gravity,All Grain,Robust Porter
1.046,1.01,4.61,50.2,7.79,70.0,Specific Gravity,All Grain,American IPA
1.079,1.015,8.46,111.52,8.26,72.0,Specific Gravity,All Grain,American IPA
1.0590000000000002,1.01,6.4,31.19,14.04,75.0,Specific Gravity,All Grain,Irish Red Ale
1.05,1.011,5.03,21.6,7.09,70.0,Specific Gravity,BIAB,Blonde Ale
1.105,1.021,11.01,312.64,12.27,27.0,Specific Gravity,extract,Imperial IPA
1.08,1.018,8.05,28.16,40.0,65.0,Specific Gravity,All Grain,Robust Porter
1.062,1.016,6.12,65.39,10.12,85.0,Specific Gravity,All Grain,American IPA
1.05,1.014,4.71,20.78,4.09,70.0,Specific Gravity,All Grain,Blonde Ale
1.06,1.0170000000000001,5.64,70.69,14.09,65.0,Specific Gravity,BIAB,American IPA
1.0590000000000002,1.012,6.18,24.97,5.01,75.0,Specific Gravity,All Grain,Saison
1.068,1.0190000000000001,6.43,19.77,8.44,75.0,Specific Gravity,All Grain,Weizen/Weissbier
1.065,1.013,6.82,40.36,12.19,70.0,Specific Gravity,All Grain,Saison
1.069,1.0190000000000001,6.52,60.18,11.59,65.0,Specific Gravity,All Grain,American IPA
1.0659999999999998,1.0170000000000001,6.43,80.23,7.72,60.8,Specific Gravity,BIAB,American IPA
1.063,1.014,6.55,68.03,6.73,90.0,Specific Gravity,All Grain,American IPA
1.06,1.016,5.84,77.85,6.41,60.0,Specific Gravity,BIAB,American IPA
1.06,1.015,5.88,59.37,9.74,69.0,Specific Gravity,All Grain,American IPA
1.05,1.013,4.76,26.41,39.4,35.0,Specific Gravity,extract,Oatmeal Stout
1.057,1.015,5.54,82.53,8.12,75.0,Specific Gravity,All Grain,American IPA
1.0490000000000002,1.013,4.81,42.43,4.61,72.0,Specific Gravity,All Grain,American Pale Ale
1.05,1.012,4.96,16.25,4.64,78.0,Specific Gravity,All Grain,Witbier
1.07,1.013,7.44,66.16,6.56,70.0,Specific Gravity,All Grain,American IPA
1.051,1.014,4.93,42.4,19.98,70.0,Specific Gravity,All Grain,Irish Red Ale
