title,dept,salary,race,gender,experience,experience_level
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,9,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,33,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13,Experienced
DIVISION MANAGER,Houston Airport System (HAS),86297.0,Hispanic,Male,24,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,34,Veteran
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,34757.0,Black,Female,11,Experienced
ELECTRICIAN,Public Works & Engineering-PWE,49483.0,Hispanic,Male,11,Experienced
EQUIPMENT OPERATOR III,Houston Airport System (HAS),40144.0,White,Male,7,Novice
LABORER,Houston Airport System (HAS),28163.0,Black,Male,3,Novice
EQUIPMENT WORKER,Public Works & Engineering-PWE,30992.0,Hispanic,Male,3,Novice
IT PROJECT MANAGER,Houston Fire Department (HFD),96668.0,Black,Female,18,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,58,Veteran
LABORER,Public Works & Engineering-PWE,26125.0,Black,Female,15,Experienced
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,White,Male,12,Experienced
"PUBLIC HEALTH DENTIST,DDS",Health & Human Services,100791.0,White,Female,1,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Female,18,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,21,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,25,Veteran
CUSTOMER SERVICE CLERK,Health & Human Services,31387.0,Hispanic,Female,19,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,18,Experienced
ADMINISTRATIVE AIDE,Houston Airport System (HAS),36296.0,White,Female,17,Experienced
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,20,Veteran
POLICE OFFICER,Houston Police Department-HPD,52514.0,Hispanic,Male,6,Novice
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Male,2,Novice
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,17,Experienced
FIELD SUPERVISOR,Public Works & Engineering-PWE,44283.0,White,Male,36,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,16,Experienced
LICENSED VOCATIONAL NURSE,Health & Human Services,48984.0,Black,Female,16,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,12,Experienced
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Hispanic,Female,0,Novice
FIELD SUPERVISOR,Public Works & Engineering-PWE,53373.0,Black,Male,20,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,31,Veteran
PROCUREMENT SPECIALIST,Public Works & Engineering-PWE,52156.0,Hispanic,Male,2,Novice
CUSTODIAN,Parks & Recreation,26125.0,Black,Female,23,Veteran
INSPECTOR FIRE,Houston Fire Department (HFD),66523.0,Hispanic,Male,12,Experienced
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Hispanic,Male,15,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,Native American,Male,10,Experienced
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,4,Novice
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Black,Male,0,Novice
LABORER,Houston Airport System (HAS),26125.0,Hispanic,Female,15,Experienced
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,16,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,7,Novice
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,45926.0,Black,Female,6,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,22,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Black,Male,15,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,30,Veteran
PUBLIC HEALTH EDUCATOR,Health & Human Services,36650.0,Hispanic,Female,1,Novice
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,10,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,8,Novice
SENIOR DATA ENTRY OPERATOR,Health & Human Services,31554.0,Asian,Female,23,Veteran
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,31,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,22,Veteran
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Hispanic,Male,3,Novice
ADMINISTRATIVE ASSISTANT,Health & Human Services,44200.0,Black,Female,20,Veteran
"FIRE FIGHTER, PROBATIONARY",Houston Fire Department (HFD),40170.0,Black,Male,1,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,24,Veteran
STAFF EPIDEMIOLOGIST,Health & Human Services,59819.0,White,Male,6,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,18,Experienced
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Female,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,20,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,25,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,9,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,24,Veteran
EQUIPMENT WORKER,Public Works & Engineering-PWE,38646.0,Black,Male,27,Veteran
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,1,Novice
RECREATION SPECIALIST,Parks & Recreation,33592.0,Black,Male,3,Novice
INSPECTOR,Public Works & Engineering-PWE,52458.0,Black,Male,28,Veteran
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Asian,Male,13,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Female,7,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Female,25,Veteran
JAIL ATTENDANT,Houston Police Department-HPD,36317.0,Black,Female,8,Novice
CUSTOMER SERVICE CLERK,Health & Human Services,30826.0,Hispanic,Female,8,Novice
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,25,Veteran
DISTRICT CHIEF,Houston Fire Department (HFD),89590.0,White,Male,23,Veteran
GRAPHIC DESIGNER,Houston Airport System (HAS),52499.0,Black,Male,4,Novice
UTILITY WORKER,Public Works & Engineering-PWE,34798.0,Black,Male,9,Experienced
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,35942.0,Black,Female,24,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,8,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,31,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,5,Novice
CEMENT FINISHER,Public Works & Engineering-PWE,31491.0,Black,Male,4,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,8,Novice
EQUIPMENT OPERATOR III,Houston Airport System (HAS),40435.0,Black,Male,26,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,30555.0,Black,Male,25,Veteran
SENIOR MICROCOMPUTER ANALYST,Houston Police Department-HPD,62383.0,Asian,Male,3,Novice
RECREATION SPECIALIST,Parks & Recreation,30368.0,Black,Male,9,Experienced
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,40435.0,Black,Male,23,Veteran
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,Black,Male,27,Veteran
POLICE SERGEANT,Houston Police Department-HPD,74511.0,Black,Male,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,4,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,21,Veteran
EQUIPMENT WORKER,Parks & Recreation,29307.0,Black,Male,0,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,31,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2,Novice
SENIOR INSPECTOR,Public Works & Engineering-PWE,56742.0,Black,Male,30,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31,Veteran
ASSISTANT DIRECTOR (EXECUTIVE LEVEL),Houston Airport System (HAS),120916.0,White,Male,12,Experienced
EQUIPMENT WORKER,Parks & Recreation,30347.0,Hispanic,Male,12,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,10,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,8,Novice
LABORER,Houston Airport System (HAS),26125.0,Black,Male,1,Novice
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,13,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,34,Veteran
"ASSOCIATE EMS PHYSICIAN DIRECTOR,MD",Houston Fire Department (HFD),210588.0,White,Male,15,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,5,Novice
WEB DESIGNER,Houston Police Department-HPD,59530.0,Hispanic,Male,9,Experienced
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,45906.0,Black,Female,15,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,34,Veteran
EQUIPMENT WORKER,Public Works & Engineering-PWE,30347.0,Asian,Male,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,27,Veteran
MANAGING ENGINEER,Public Works & Engineering-PWE,110881.0,White,Male,10,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,5,Novice
ADMINISTRATIVE AIDE,Houston Police Department-HPD,30451.0,Hispanic,Female,16,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,White,Male,15,Experienced
MAINTENANCE MECHANIC III,Houston Airport System (HAS),39707.0,Hispanic,Male,3,Novice
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Hispanic,Male,2,Novice
SUPERINTENDENT,Houston Airport System (HAS),69514.0,White,Male,10,Experienced
EQUIPMENT WORKER,Public Works & Engineering-PWE,32344.0,Black,Male,9,Experienced
UTILITY WORKER,Public Works & Engineering-PWE,30992.0,White,Male,23,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Male,23,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,24,Veteran
COUNSELOR,Health & Human Services,47382.0,Black,Female,8,Novice
UTILITY WORKER,Public Works & Engineering-PWE,39104.0,Black,Female,17,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2,Novice
SENIOR MICROCOMPUTER ANALYST,Houston Airport System (HAS),62432.0,Asian,Male,4,Novice
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Hispanic,Male,15,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,Asian,Male,10,Experienced
CUSTOMER SERVICE REPRESENTATIVE II,Health & Human Services,43784.0,Hispanic,Female,23,Veteran
POLICE SERVICE OFFICER,Houston Police Department-HPD,27914.0,Asian,Male,1,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,14,Experienced
INSPECTOR,Public Works & Engineering-PWE,53123.0,Hispanic,Male,15,Experienced
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,42370.0,Hispanic,Male,9,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,37,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Hispanic,Male,15,Experienced
EQUIPMENT WORKER,Public Works & Engineering-PWE,30347.0,Black,Male,0,Novice
ADMINISTRATIVE SPECIALIST,Houston Fire Department (HFD),58040.0,Hispanic,Female,21,Veteran
SENIOR CAPTAIN,Houston Fire Department (HFD),74270.0,White,Female,15,Experienced
SENIOR POLICE TELECOMMUNICATOR,Houston Police Department-HPD,46675.0,White,Female,5,Novice
FINANCIAL ANALYST III,Houston Police Department-HPD,59182.0,Black,Female,31,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,20,Veteran
EQUIPMENT WORKER,Public Works & Engineering-PWE,33987.0,Black,Female,3,Novice
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Native American,Male,20,Veteran
INSPECTOR,Public Works & Engineering-PWE,47382.0,Hispanic,Male,3,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,34,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Female,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,21,Veteran
TECHNICAL  HARDWARE  ANALYST  III,Houston Police Department-HPD,62338.0,Asian,Male,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,24,Veteran
FIELD SUPERVISOR,Public Works & Engineering-PWE,45490.0,Black,Male,25,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,33,Veteran
CAPTAIN,Houston Fire Department (HFD),66523.0,Hispanic,Male,15,Experienced
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,0,Novice
COMMUNITY RELATIONS SPECIALIST,Health & Human Services,32802.0,Hispanic,Male,2,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,3,Novice
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,1,Novice
OFFICE SUPERVISOR,Public Works & Engineering-PWE,38542.0,Hispanic,Male,3,Novice
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,7,Novice
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,35485.0,Black,Female,11,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,2,Novice
LABORER,Houston Airport System (HAS),26125.0,Black,Male,1,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5,Novice
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,15,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,4,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,10,Experienced
LABORATORY MANAGER,Health & Human Services,81849.0,White,Female,8,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,9,Experienced
CUSTOMER SERVICE REPRESENTATIVE I,Health & Human Services,30347.0,Black,Female,4,Novice
SPECIAL SERVICE REPRESENTATIVE,Houston Airport System (HAS),35277.0,Black,Male,12,Experienced
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,39312.0,Hispanic,Female,7,Novice
ELECTRICIAN,Houston Airport System (HAS),58677.0,White,Male,13,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,14,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,7,Novice
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,12,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,20,Veteran
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,34382.0,White,Female,33,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,8,Novice
EQUIPMENT WORKER,Public Works & Engineering-PWE,38438.0,Hispanic,Male,24,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,19,Veteran
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,18,Experienced
POLICE OFFICER,Houston Police Department-HPD,52514.0,White,Male,7,Novice
INSPECTOR,Public Works & Engineering-PWE,54600.0,White,Male,11,Experienced
PLANT OPERATOR SUPERVISOR,Public Works & Engineering-PWE,54995.0,Black,Male,11,Experienced
INSPECTOR,Public Works & Engineering-PWE,51584.0,Hispanic,Male,1,Novice
INSPECTOR,Houston Fire Department (HFD),70181.0,Black,Male,26,Veteran
ADMINISTRATIVE COORDINATOR,Public Works & Engineering-PWE,59748.0,Black,Male,10,Experienced
ASSISTANT DIRECTOR-PUBLIC WORKS (EXECUTI,Public Works & Engineering-PWE,141948.0,White,Male,11,Experienced
ASSISTANT AIRPORT MANAGER,Houston Airport System (HAS),100228.0,Black,Male,25,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,31450.0,Hispanic,Male,13,Experienced
FIELD SUPERVISOR,Public Works & Engineering-PWE,45989.0,Black,Male,18,Experienced
SENIOR CONTRACT ADMINISTRATOR,Health & Human Services,81972.0,Black,Female,15,Experienced
EQUIPMENT WORKER,Parks & Recreation,33634.0,Hispanic,Male,22,Veteran
DISTRICT CHIEF,Houston Fire Department (HFD),84995.0,White,Male,16,Experienced
DENTAL ASSISTANT,Health & Human Services,28434.0,Hispanic,Female,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,20,Veteran
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Hispanic,Male,14,Experienced
ADMINISTRATIVE SPECIALIST,Houston Airport System (HAS),51139.0,White,Female,24,Veteran
POLICE OFFICER,Houston Police Department-HPD,45279.0,Hispanic,Male,3,Novice
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Female,8,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,9,Experienced
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,35,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31,Veteran
ACCOUNTANT SUPERVISOR,Houston Airport System (HAS),68451.0,Hispanic,Female,10,Experienced
ADMINISTRATIVE ASSISTANT,Parks & Recreation,36920.0,Hispanic,Female,26,Veteran
POLICE SERGEANT,Houston Police Department-HPD,77076.0,White,Male,16,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Female,2,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,20,Veteran
RECORDS ADMINISTRATOR,Houston Airport System (HAS),65832.0,White,Male,1,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,50621.0,Black,Male,5,Novice
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,12,Experienced
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Female,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,6,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Female,22,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,4,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,4,Novice
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Female,15,Experienced
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Female,0,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,14,Experienced
SENIOR BREASTFEEDING PEER COUNSELOR,Health & Human Services,32864.0,Hispanic,Female,10,Experienced
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,56742.0,White,Male,9,Experienced
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,7,Novice
COMMUNITY INVOLVEMENT COORDINATOR,Parks & Recreation,48090.0,Black,Female,8,Novice
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,11,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,20,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Black,Male,8,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Asian,Male,15,Experienced
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Black,Male,2,Novice
INSPECTOR,Public Works & Engineering-PWE,46800.0,Hispanic,Male,0,Novice
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,2,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,7,Novice
SENIOR INSPECTOR,Public Works & Engineering-PWE,63315.0,White,Male,10,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23,Veteran
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Hispanic,Female,2,Novice
EQUIPMENT WORKER,Public Works & Engineering-PWE,39978.0,Black,Male,22,Veteran
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,5,Novice
SAFETY REPRESENTATIVE,Parks & Recreation,54600.0,Black,Male,2,Novice
POLICE LIEUTENANT,Houston Police Department-HPD,86534.0,Black,Female,23,Veteran
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,37294.0,Hispanic,Female,10,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,16,Experienced
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Male,6,Novice
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13,Experienced
CAPTAIN,Houston Fire Department (HFD),66523.0,Black,Male,17,Experienced
POLICE OFFICER,Houston Police Department-HPD,45279.0,Black,Male,2,Novice
EQUIPMENT WORKER,Parks & Recreation,33488.0,Black,Male,17,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,7,Novice
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Black,Male,2,Novice
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90716.0,Asian,Female,8,Novice
EQUIPMENT OPERATOR II,Houston Airport System (HAS),41808.0,Hispanic,Male,18,Experienced
DIVISION MANAGER (EXECUTIVE LEVEL),Health & Human Services,94149.0,Asian,Female,12,Experienced
STAFF ANALYST,Public Works & Engineering-PWE,73783.0,White,Female,16,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,32,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Black,Male,13,Experienced
POLICE OFFICER,Houston Police Department-HPD,45279.0,Hispanic,Female,3,Novice
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Female,3,Novice
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,8,Novice
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,54600.0,Black,Male,7,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9,Experienced
PLANT OPERATOR,Public Works & Engineering-PWE,39478.0,White,Male,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,2,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9,Experienced
RECORDS TECHNICIAN,Public Works & Engineering-PWE,28600.0,Black,Female,0,Novice
ELECTRICIAN,Public Works & Engineering-PWE,44096.0,White,Male,0,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,17,Experienced
SENIOR INSPECTOR,Public Works & Engineering-PWE,60133.0,Black,Female,22,Veteran
MICROBIOLOGIST III,Health & Human Services,52072.0,White,Male,4,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,15,Experienced
CHEMIST II,Public Works & Engineering-PWE,51168.0,Asian,Female,13,Experienced
WATER SERVICE INSPECTOR I,Public Works & Engineering-PWE,32240.0,Black,Male,3,Novice
CUSTOMER SERVICE REPRESENTATIVE II,Public Works & Engineering-PWE,33488.0,Hispanic,Female,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),61921.0,White,Male,6,Novice
